Fecha y Hora;Candidato;Cantidad
2023-10-08T20:30:00;Sergio Massa;1
2023-10-08T20:31:00;Sergio Massa;2
2023-10-08T20:32:00;Sergio Massa;2
2023-10-08T20:33:00;Sergio Massa;2
2023-10-08T20:34:00;Sergio Massa;4
2023-10-08T20:35:00;Sergio Massa;1
2023-10-08T20:36:00;Sergio Massa;3
2023-10-08T20:37:00;Sergio Massa;3
2023-10-08T20:38:00;Sergio Massa;1
2023-10-08T20:39:00;Sergio Massa;1
2023-10-08T20:40:00;Sergio Massa;2
2023-10-08T20:41:00;Sergio Massa;3
2023-10-08T20:42:00;Sergio Massa;1
2023-10-08T20:43:00;Sergio Massa;1
2023-10-08T20:44:00;Sergio Massa;2
2023-10-08T20:45:00;Sergio Massa;2
2023-10-08T20:46:00;Sergio Massa;3
2023-10-08T20:47:00;Sergio Massa;1
2023-10-08T20:48:00;Sergio Massa;2
2023-10-08T20:49:00;Sergio Massa;1
2023-10-08T20:50:00;Sergio Massa;2
2023-10-08T20:51:00;Sergio Massa;3
2023-10-08T20:52:00;Sergio Massa;4
2023-10-08T20:53:00;Sergio Massa;3
2023-10-08T20:54:00;Sergio Massa;2
2023-10-08T20:55:00;Sergio Massa;2
2023-10-08T20:56:00;Sergio Massa;2
2023-10-08T20:57:00;Sergio Massa;3
2023-10-08T20:58:00;Sergio Massa;2
2023-10-08T20:59:00;Sergio Massa;3
2023-10-08T21:00:00;Sergio Massa;4
2023-10-08T21:01:00;Sergio Massa;3
2023-10-08T21:02:00;Sergio Massa;2
2023-10-08T21:03:00;Sergio Massa;1
2023-10-08T21:04:00;Sergio Massa;1
2023-10-08T21:05:00;Sergio Massa;3
2023-10-08T21:06:00;Sergio Massa;2
2023-10-08T21:07:00;Sergio Massa;2
2023-10-08T21:08:00;Sergio Massa;8
2023-10-08T21:09:00;Sergio Massa;13
2023-10-08T21:10:00;Sergio Massa;11
2023-10-08T21:11:00;Sergio Massa;6
2023-10-08T21:12:00;Sergio Massa;5
2023-10-08T21:13:00;Sergio Massa;6
2023-10-08T21:14:00;Sergio Massa;3
2023-10-08T21:15:00;Sergio Massa;4
2023-10-08T21:16:00;Sergio Massa;3
2023-10-08T21:17:00;Sergio Massa;11
2023-10-08T21:18:00;Sergio Massa;14
2023-10-08T21:19:00;Sergio Massa;9
2023-10-08T21:20:00;Sergio Massa;21
2023-10-08T21:21:00;Sergio Massa;28
2023-10-08T21:22:00;Sergio Massa;19
2023-10-08T21:23:00;Sergio Massa;26
2023-10-08T21:24:00;Sergio Massa;19
2023-10-08T21:25:00;Sergio Massa;16
2023-10-08T21:26:00;Sergio Massa;13
2023-10-08T21:27:00;Sergio Massa;11
2023-10-08T21:28:00;Sergio Massa;7
2023-10-08T21:29:00;Sergio Massa;7
2023-10-08T21:30:00;Sergio Massa;10
2023-10-08T21:31:00;Sergio Massa;8
2023-10-08T21:32:00;Sergio Massa;12
2023-10-08T21:33:00;Sergio Massa;15
2023-10-08T21:34:00;Sergio Massa;22
2023-10-08T21:35:00;Sergio Massa;27
2023-10-08T21:36:00;Sergio Massa;24
2023-10-08T21:37:00;Sergio Massa;16
2023-10-08T21:38:00;Sergio Massa;17
2023-10-08T21:39:00;Sergio Massa;26
2023-10-08T21:40:00;Sergio Massa;19
2023-10-08T21:41:00;Sergio Massa;19
2023-10-08T21:42:00;Sergio Massa;24
2023-10-08T21:43:00;Sergio Massa;20
2023-10-08T21:44:00;Sergio Massa;20
2023-10-08T21:45:00;Sergio Massa;18
2023-10-08T21:46:00;Sergio Massa;10
2023-10-08T21:47:00;Sergio Massa;12
2023-10-08T21:48:00;Sergio Massa;14
2023-10-08T21:49:00;Sergio Massa;9
2023-10-08T21:50:00;Sergio Massa;4
2023-10-08T21:51:00;Sergio Massa;13
2023-10-08T21:52:00;Sergio Massa;18
2023-10-08T21:53:00;Sergio Massa;13
2023-10-08T21:54:00;Sergio Massa;12
2023-10-08T21:55:00;Sergio Massa;18
2023-10-08T21:56:00;Sergio Massa;10
2023-10-08T21:57:00;Sergio Massa;11
2023-10-08T21:58:00;Sergio Massa;13
2023-10-08T21:59:00;Sergio Massa;11
2023-10-08T22:00:00;Sergio Massa;10
2023-10-08T22:01:00;Sergio Massa;11
2023-10-08T22:02:00;Sergio Massa;14
2023-10-08T22:03:00;Sergio Massa;9
2023-10-08T22:04:00;Sergio Massa;13
2023-10-08T22:05:00;Sergio Massa;11
2023-10-08T22:06:00;Sergio Massa;13
2023-10-08T22:07:00;Sergio Massa;8
2023-10-08T22:08:00;Sergio Massa;13
2023-10-08T22:09:00;Sergio Massa;19
2023-10-08T22:10:00;Sergio Massa;21
2023-10-08T22:11:00;Sergio Massa;18
2023-10-08T22:12:00;Sergio Massa;14
2023-10-08T22:13:00;Sergio Massa;14
2023-10-08T22:14:00;Sergio Massa;14
2023-10-08T22:15:00;Sergio Massa;9
2023-10-08T22:16:00;Sergio Massa;11
2023-10-08T22:17:00;Sergio Massa;9
2023-10-08T22:18:00;Sergio Massa;6
2023-10-08T22:19:00;Sergio Massa;12
2023-10-08T22:20:00;Sergio Massa;8
2023-10-08T22:21:00;Sergio Massa;16
2023-10-08T22:22:00;Sergio Massa;14
2023-10-08T22:23:00;Sergio Massa;13
2023-10-08T22:24:00;Sergio Massa;8
2023-10-08T22:25:00;Sergio Massa;9
2023-10-08T22:26:00;Sergio Massa;11
2023-10-08T22:27:00;Sergio Massa;25
2023-10-08T22:28:00;Sergio Massa;24
2023-10-08T22:29:00;Sergio Massa;14
2023-10-08T22:30:00;Sergio Massa;17
2023-10-08T22:31:00;Sergio Massa;20
2023-10-08T22:32:00;Sergio Massa;15
2023-10-08T22:33:00;Sergio Massa;12
2023-10-08T22:34:00;Sergio Massa;11
2023-10-08T22:35:00;Sergio Massa;11
2023-10-08T22:36:00;Sergio Massa;15
2023-10-08T22:37:00;Sergio Massa;16
2023-10-08T22:38:00;Sergio Massa;11
2023-10-08T22:39:00;Sergio Massa;19
2023-10-08T22:40:00;Sergio Massa;12
2023-10-08T22:41:00;Sergio Massa;6
2023-10-08T22:42:00;Sergio Massa;12
2023-10-08T22:43:00;Sergio Massa;24
2023-10-08T22:44:00;Sergio Massa;23
2023-10-08T22:45:00;Sergio Massa;27
2023-10-08T22:46:00;Sergio Massa;19
2023-10-08T22:47:00;Sergio Massa;15
2023-10-08T22:48:00;Sergio Massa;14
2023-10-08T22:49:00;Sergio Massa;16
2023-10-08T22:50:00;Sergio Massa;13
2023-10-08T22:51:00;Sergio Massa;15
2023-10-08T22:52:00;Sergio Massa;13
2023-10-08T22:53:00;Sergio Massa;10
2023-10-08T22:54:00;Sergio Massa;11
2023-10-08T22:55:00;Sergio Massa;10
2023-10-08T22:56:00;Sergio Massa;9
2023-10-08T22:57:00;Sergio Massa;9
2023-10-08T22:58:00;Sergio Massa;11
2023-10-08T22:59:00;Sergio Massa;19
2023-10-08T23:00:00;Sergio Massa;30
2023-10-08T23:01:00;Sergio Massa;17
2023-10-08T23:02:00;Sergio Massa;14
2023-10-08T23:03:00;Sergio Massa;14
2023-10-08T23:04:00;Sergio Massa;15
2023-10-08T23:05:00;Sergio Massa;12
2023-10-08T23:06:00;Sergio Massa;11
2023-10-08T23:07:00;Sergio Massa;13
2023-10-08T23:08:00;Sergio Massa;10
2023-10-08T23:09:00;Sergio Massa;10
2023-10-08T23:10:00;Sergio Massa;13
2023-10-08T23:11:00;Sergio Massa;10
2023-10-08T23:12:00;Sergio Massa;11
2023-10-08T23:13:00;Sergio Massa;10
2023-10-08T23:14:00;Sergio Massa;12
2023-10-08T23:15:00;Sergio Massa;11
2023-10-08T23:16:00;Sergio Massa;10
2023-10-08T23:17:00;Sergio Massa;12
2023-10-08T20:30:00;Javier Milei;6
2023-10-08T20:31:00;Javier Milei;9
2023-10-08T20:32:00;Javier Milei;9
2023-10-08T20:33:00;Javier Milei;8
2023-10-08T20:34:00;Javier Milei;7
2023-10-08T20:35:00;Javier Milei;7
2023-10-08T20:36:00;Javier Milei;8
2023-10-08T20:37:00;Javier Milei;9
2023-10-08T20:38:00;Javier Milei;9
2023-10-08T20:39:00;Javier Milei;8
2023-10-08T20:40:00;Javier Milei;11
2023-10-08T20:41:00;Javier Milei;8
2023-10-08T20:42:00;Javier Milei;8
2023-10-08T20:43:00;Javier Milei;11
2023-10-08T20:44:00;Javier Milei;7
2023-10-08T20:45:00;Javier Milei;5
2023-10-08T20:46:00;Javier Milei;7
2023-10-08T20:47:00;Javier Milei;4
2023-10-08T20:48:00;Javier Milei;4
2023-10-08T20:49:00;Javier Milei;8
2023-10-08T20:50:00;Javier Milei;10
2023-10-08T20:51:00;Javier Milei;11
2023-10-08T20:52:00;Javier Milei;12
2023-10-08T20:53:00;Javier Milei;8
2023-10-08T20:54:00;Javier Milei;8
2023-10-08T20:55:00;Javier Milei;7
2023-10-08T20:56:00;Javier Milei;12
2023-10-08T20:57:00;Javier Milei;12
2023-10-08T20:58:00;Javier Milei;8
2023-10-08T20:59:00;Javier Milei;11
2023-10-08T21:00:00;Javier Milei;10
2023-10-08T21:01:00;Javier Milei;8
2023-10-08T21:02:00;Javier Milei;9
2023-10-08T21:03:00;Javier Milei;9
2023-10-08T21:04:00;Javier Milei;8
2023-10-08T21:05:00;Javier Milei;15
2023-10-08T21:06:00;Javier Milei;20
2023-10-08T21:07:00;Javier Milei;12
2023-10-08T21:08:00;Javier Milei;15
2023-10-08T21:09:00;Javier Milei;11
2023-10-08T21:10:00;Javier Milei;10
2023-10-08T21:11:00;Javier Milei;14
2023-10-08T21:12:00;Javier Milei;9
2023-10-08T21:13:00;Javier Milei;8
2023-10-08T21:14:00;Javier Milei;10
2023-10-08T21:15:00;Javier Milei;7
2023-10-08T21:16:00;Javier Milei;13
2023-10-08T21:17:00;Javier Milei;15
2023-10-08T21:18:00;Javier Milei;9
2023-10-08T21:19:00;Javier Milei;11
2023-10-08T21:20:00;Javier Milei;11
2023-10-08T21:21:00;Javier Milei;14
2023-10-08T21:22:00;Javier Milei;10
2023-10-08T21:23:00;Javier Milei;11
2023-10-08T21:24:00;Javier Milei;8
2023-10-08T21:25:00;Javier Milei;12
2023-10-08T21:26:00;Javier Milei;16
2023-10-08T21:27:00;Javier Milei;32
2023-10-08T21:28:00;Javier Milei;36
2023-10-08T21:29:00;Javier Milei;48
2023-10-08T21:30:00;Javier Milei;48
2023-10-08T21:31:00;Javier Milei;35
2023-10-08T21:32:00;Javier Milei;30
2023-10-08T21:33:00;Javier Milei;25
2023-10-08T21:34:00;Javier Milei;22
2023-10-08T21:35:00;Javier Milei;24
2023-10-08T21:36:00;Javier Milei;17
2023-10-08T21:37:00;Javier Milei;14
2023-10-08T21:38:00;Javier Milei;16
2023-10-08T21:39:00;Javier Milei;11
2023-10-08T21:40:00;Javier Milei;12
2023-10-08T21:41:00;Javier Milei;17
2023-10-08T21:42:00;Javier Milei;18
2023-10-08T21:43:00;Javier Milei;15
2023-10-08T21:44:00;Javier Milei;13
2023-10-08T21:45:00;Javier Milei;16
2023-10-08T21:46:00;Javier Milei;14
2023-10-08T21:47:00;Javier Milei;26
2023-10-08T21:48:00;Javier Milei;43
2023-10-08T21:49:00;Javier Milei;28
2023-10-08T21:50:00;Javier Milei;20
2023-10-08T21:51:00;Javier Milei;24
2023-10-08T21:52:00;Javier Milei;30
2023-10-08T21:53:00;Javier Milei;37
2023-10-08T21:54:00;Javier Milei;31
2023-10-08T21:55:00;Javier Milei;23
2023-10-08T21:56:00;Javier Milei;22
2023-10-08T21:57:00;Javier Milei;22
2023-10-08T21:58:00;Javier Milei;23
2023-10-08T21:59:00;Javier Milei;30
2023-10-08T22:00:00;Javier Milei;18
2023-10-08T22:01:00;Javier Milei;22
2023-10-08T22:02:00;Javier Milei;23
2023-10-08T22:03:00;Javier Milei;20
2023-10-08T22:04:00;Javier Milei;26
2023-10-08T22:05:00;Javier Milei;22
2023-10-08T22:06:00;Javier Milei;24
2023-10-08T22:07:00;Javier Milei;15
2023-10-08T22:08:00;Javier Milei;15
2023-10-08T22:09:00;Javier Milei;16
2023-10-08T22:10:00;Javier Milei;17
2023-10-08T22:11:00;Javier Milei;13
2023-10-08T22:12:00;Javier Milei;14
2023-10-08T22:13:00;Javier Milei;17
2023-10-08T22:14:00;Javier Milei;14
2023-10-08T22:15:00;Javier Milei;30
2023-10-08T22:16:00;Javier Milei;32
2023-10-08T22:17:00;Javier Milei;26
2023-10-08T22:18:00;Javier Milei;43
2023-10-08T22:19:00;Javier Milei;30
2023-10-08T22:20:00;Javier Milei;24
2023-10-08T22:21:00;Javier Milei;27
2023-10-08T22:22:00;Javier Milei;21
2023-10-08T22:23:00;Javier Milei;23
2023-10-08T22:24:00;Javier Milei;33
2023-10-08T22:25:00;Javier Milei;28
2023-10-08T22:26:00;Javier Milei;18
2023-10-08T22:27:00;Javier Milei;28
2023-10-08T22:28:00;Javier Milei;30
2023-10-08T22:29:00;Javier Milei;19
2023-10-08T22:30:00;Javier Milei;24
2023-10-08T22:31:00;Javier Milei;23
2023-10-08T22:32:00;Javier Milei;33
2023-10-08T22:33:00;Javier Milei;25
2023-10-08T22:34:00;Javier Milei;17
2023-10-08T22:35:00;Javier Milei;25
2023-10-08T22:36:00;Javier Milei;27
2023-10-08T22:37:00;Javier Milei;21
2023-10-08T22:38:00;Javier Milei;22
2023-10-08T22:39:00;Javier Milei;19
2023-10-08T22:40:00;Javier Milei;18
2023-10-08T22:41:00;Javier Milei;19
2023-10-08T22:42:00;Javier Milei;14
2023-10-08T22:43:00;Javier Milei;21
2023-10-08T22:44:00;Javier Milei;22
2023-10-08T22:45:00;Javier Milei;27
2023-10-08T22:46:00;Javier Milei;31
2023-10-08T22:47:00;Javier Milei;32
2023-10-08T22:48:00;Javier Milei;27
2023-10-08T22:49:00;Javier Milei;25
2023-10-08T22:50:00;Javier Milei;24
2023-10-08T22:51:00;Javier Milei;24
2023-10-08T22:52:00;Javier Milei;25
2023-10-08T22:53:00;Javier Milei;21
2023-10-08T22:54:00;Javier Milei;22
2023-10-08T22:55:00;Javier Milei;16
2023-10-08T22:56:00;Javier Milei;17
2023-10-08T22:57:00;Javier Milei;33
2023-10-08T22:58:00;Javier Milei;25
2023-10-08T22:59:00;Javier Milei;26
2023-10-08T23:00:00;Javier Milei;21
2023-10-08T23:01:00;Javier Milei;27
2023-10-08T23:02:00;Javier Milei;25
2023-10-08T23:03:00;Javier Milei;23
2023-10-08T23:04:00;Javier Milei;19
2023-10-08T23:05:00;Javier Milei;24
2023-10-08T23:06:00;Javier Milei;22
2023-10-08T23:07:00;Javier Milei;23
2023-10-08T23:08:00;Javier Milei;25
2023-10-08T23:09:00;Javier Milei;26
2023-10-08T23:10:00;Javier Milei;23
2023-10-08T23:11:00;Javier Milei;19
2023-10-08T23:12:00;Javier Milei;27
2023-10-08T23:13:00;Javier Milei;19
2023-10-08T23:14:00;Javier Milei;20
2023-10-08T23:15:00;Javier Milei;23
2023-10-08T23:16:00;Javier Milei;18
2023-10-08T23:17:00;Javier Milei;20
2023-10-08T20:30:00;Patricia Bullrich;2
2023-10-08T20:31:00;Patricia Bullrich;3
2023-10-08T20:32:00;Patricia Bullrich;2
2023-10-08T20:33:00;Patricia Bullrich;4
2023-10-08T20:34:00;Patricia Bullrich;1
2023-10-08T20:35:00;Patricia Bullrich;3
2023-10-08T20:36:00;Patricia Bullrich;2
2023-10-08T20:37:00;Patricia Bullrich;2
2023-10-08T20:38:00;Patricia Bullrich;2
2023-10-08T20:39:00;Patricia Bullrich;2
2023-10-08T20:40:00;Patricia Bullrich;4
2023-10-08T20:41:00;Patricia Bullrich;1
2023-10-08T20:42:00;Patricia Bullrich;3
2023-10-08T20:43:00;Patricia Bullrich;1
2023-10-08T20:44:00;Patricia Bullrich;2
2023-10-08T20:45:00;Patricia Bullrich;2
2023-10-08T20:46:00;Patricia Bullrich;2
2023-10-08T20:47:00;Patricia Bullrich;2
2023-10-08T20:48:00;Patricia Bullrich;4
2023-10-08T20:49:00;Patricia Bullrich;3
2023-10-08T20:50:00;Patricia Bullrich;2
2023-10-08T20:51:00;Patricia Bullrich;1
2023-10-08T20:52:00;Patricia Bullrich;4
2023-10-08T20:53:00;Patricia Bullrich;3
2023-10-08T20:54:00;Patricia Bullrich;4
2023-10-08T20:55:00;Patricia Bullrich;3
2023-10-08T20:56:00;Patricia Bullrich;3
2023-10-08T20:57:00;Patricia Bullrich;2
2023-10-08T20:58:00;Patricia Bullrich;2
2023-10-08T20:59:00;Patricia Bullrich;3
2023-10-08T21:00:00;Patricia Bullrich;3
2023-10-08T21:01:00;Patricia Bullrich;2
2023-10-08T21:02:00;Patricia Bullrich;2
2023-10-08T21:03:00;Patricia Bullrich;2
2023-10-08T21:04:00;Patricia Bullrich;3
2023-10-08T21:05:00;Patricia Bullrich;4
2023-10-08T21:06:00;Patricia Bullrich;2
2023-10-08T21:07:00;Patricia Bullrich;8
2023-10-08T21:08:00;Patricia Bullrich;7
2023-10-08T21:09:00;Patricia Bullrich;4
2023-10-08T21:10:00;Patricia Bullrich;4
2023-10-08T21:11:00;Patricia Bullrich;4
2023-10-08T21:12:00;Patricia Bullrich;7
2023-10-08T21:13:00;Patricia Bullrich;18
2023-10-08T21:14:00;Patricia Bullrich;18
2023-10-08T21:15:00;Patricia Bullrich;14
2023-10-08T21:16:00;Patricia Bullrich;12
2023-10-08T21:17:00;Patricia Bullrich;18
2023-10-08T21:18:00;Patricia Bullrich;41
2023-10-08T21:19:00;Patricia Bullrich;26
2023-10-08T21:20:00;Patricia Bullrich;20
2023-10-08T21:21:00;Patricia Bullrich;15
2023-10-08T21:22:00;Patricia Bullrich;11
2023-10-08T21:23:00;Patricia Bullrich;15
2023-10-08T21:24:00;Patricia Bullrich;41
2023-10-08T21:25:00;Patricia Bullrich;28
2023-10-08T21:26:00;Patricia Bullrich;17
2023-10-08T21:27:00;Patricia Bullrich;12
2023-10-08T21:28:00;Patricia Bullrich;12
2023-10-08T21:29:00;Patricia Bullrich;16
2023-10-08T21:30:00;Patricia Bullrich;14
2023-10-08T21:31:00;Patricia Bullrich;11
2023-10-08T21:32:00;Patricia Bullrich;12
2023-10-08T21:33:00;Patricia Bullrich;15
2023-10-08T21:34:00;Patricia Bullrich;12
2023-10-08T21:35:00;Patricia Bullrich;13
2023-10-08T21:36:00;Patricia Bullrich;10
2023-10-08T21:37:00;Patricia Bullrich;6
2023-10-08T21:38:00;Patricia Bullrich;6
2023-10-08T21:39:00;Patricia Bullrich;11
2023-10-08T21:40:00;Patricia Bullrich;16
2023-10-08T21:41:00;Patricia Bullrich;13
2023-10-08T21:42:00;Patricia Bullrich;8
2023-10-08T21:43:00;Patricia Bullrich;8
2023-10-08T21:44:00;Patricia Bullrich;6
2023-10-08T21:45:00;Patricia Bullrich;11
2023-10-08T21:46:00;Patricia Bullrich;8
2023-10-08T21:47:00;Patricia Bullrich;10
2023-10-08T21:48:00;Patricia Bullrich;9
2023-10-08T21:49:00;Patricia Bullrich;7
2023-10-08T21:50:00;Patricia Bullrich;5
2023-10-08T21:51:00;Patricia Bullrich;5
2023-10-08T21:52:00;Patricia Bullrich;17
2023-10-08T21:53:00;Patricia Bullrich;24
2023-10-08T21:54:00;Patricia Bullrich;17
2023-10-08T21:55:00;Patricia Bullrich;13
2023-10-08T21:56:00;Patricia Bullrich;12
2023-10-08T21:57:00;Patricia Bullrich;11
2023-10-08T21:58:00;Patricia Bullrich;9
2023-10-08T21:59:00;Patricia Bullrich;16
2023-10-08T22:00:00;Patricia Bullrich;15
2023-10-08T22:01:00;Patricia Bullrich;9
2023-10-08T22:02:00;Patricia Bullrich;10
